Yayasan,Alamat,Telp
Pondok Pesantren Miftahul Huda,"Dusun Cikalan Desa Padaan, Kec. Pabelan Kab. Semarang 50771 - Jawa Tengah Dinastanbunhut:",024-6821811 024-6924728
Pondok Pesantren Salafiyah Bustanuth Tholibin,"Desa Tegaron Kec. Banyubiru, Kab. Semarang - Jawa Tengah",HP  0817 450521; 0818 05922511
Yayasan Nusa Mardika Pondok Pasantren Ar Ridho,"Dusun Pasunten, Desa Lipusari,  Kec. Leksono - Kab. Wonosobo",HP  08888268970
Pondok Pesantren Tanbiihul Ghofilin,Jl. Sambek RT 03 RW 03 Kel. Sambek  Kec. Wonosobo - Wonosobo  Jateng 56312 -,0286-325221 HP  085868251251 - 0813 270
Pondok Pesantren Nurul Yaqin,"Dukuh Sugihan, Desa Andong, Kec. Andong KP 57384 /",081329748750
Pondok Pesantren Murottalul Quran,"Dk Cikuning, Ds Terlaya,Kec. Bantarkawung",
Pondok Pesantren Taallumul Huda,"Jl. KH. Izuddin No. 01 Ganggawang, Kec. Salem 52275",
Pondok Pesantren Salafiah Putra Putri Al Fiel,Jl. Kemerdekaan Timur N0. 6 Kesugihan Kidul 53274,0282 695626 / 081327026481
Pondok Pesantren Al Falah,Kalikodang RT 4/III Kec. Demak,HP  081390385002
YPI Nurul Ulum,"Ds Sokokidul, Kec. Kebonagung",HP  081318784511/ 08122858675
Pondok Pesantren Fathul Maarif,Dsn Banyuurip Desa suru Kec. Geyer,81390362957
Pondok Pesantren Nurul Ummah,"Ds Bugel, Desa Sendang Harjo, Kec.Karang Payung /",85229755364
Pondok Pesantren Manbaul Ulum,Komplek Masjid Baitu Rohman Kedungombo Buaran Mayong,81325050780
Pondok Pesantren Islam Modern Terpadu Al Maun,Sroyo RT 6/10 Jaten 57771,271662520
Pondok Pesantren Khoirul Huda,"Dk. Ngadioro, RT 3/2 Tagung, Berjo, Ngargoyoso",0271 7052812/ 081393145703 HP  815672346
Pondok Pesantren Syaifaul Qulub,Sembuh Desa Jatirejo Kec. Jumapolo,HP  085229981831
Pondok Pesantren Al Munir,Mangunweni-Ayah,HP  081327297503/085869995119
Pondok Pesantren Asy Syiroj,"RT 8/III Purwosari, Puring 54383",HP  081392062414
Yayasan Ibnu Abbas,Kompleks SDIT Ibnu Abbas Gg Kencana RT 1 RW 6 Desa Jatimulyo 0187 5506062,
Pondok Pesantren Al Musyaffa,Jl. Kampir-Sudipayung Ngampel PO BOX 201 Pegandon,0294 5792512     51357
Pondok Pesantren An Nur,Jl. KH ahmad Djalal PO BOX 212 Kersan Tegorejo Pegandon,0294 383694-383680
"LM3 Paguyuban Petani Lestari, Paroki Santo Kristof","Desa Mangunsari, Kec. Sawangan",
Lembaga Pemberdayaan Santri Sulam Taufiq,"Rowokembu wonopringgo, Lebak Barang",
Pondok Pesantren Darul Abror,"Ds Kedungjati, Kec. Bukateja/",286476167
Pondok Pesantren Nuurul Huda,Desa Tamansari Kec. Karangmoncol,0281 7614283 / 085869777941
LPondok PesantrenKU AL Firdaus,"Ds Tejen, Rt 4/2 Desa Pamotan, Kec. Pamotan",
Pondok Pesantren Matlail Huda,Desa Sendang Kec. Bringin,81326507224
Pondok Pesantren Al Falah,Jl.Merpati No. 2A Gedongan RT 3/2 Baki 57556 Tlp. 0271 7085783/08156714041,
Pondok Pesantren Roudlatul jannah,Tegalrejo 2/II Desa Kemasan Kec. Polokarto Tlp. 0271 7003521/081393218811,
Pondok Pesantren Ulul Albab,Tulakan Godog Tromol Pos 2 Polokarto 57555,0271 611291/6109530
Pondok Pesantren Nurul Huda al Muawanah,"Desa Danawarih Kec. Balapulang 52464 Jl. Mbah Bregas, Dk. Kaseran Danawarih",0283 464050 / 08156917775
Pondok Pesantren Al Ikhlas Nurul Burhan,"Desa Tegiri, Kec. Batuwarno",85229951977
Pondok Pesantren Nurul Quran,"Kel. Kaliwiro, Kec. Kaliwiro 56364",85226664627
Pondok Pesantren Abdur Rahman Bin Auf 2,"Pereng RT 1/1, Desa Pakel, Kec. Andong",081329481513; 0813290533139
Gereja Katolik Hati Kudus Tuhan Yesus Simo Wilayah,"Banyuurip Rt. 15/V, Desa Banyuurip, Kec. Klego",085229826484
Gereja Isa Almasih Jlarem,"Desa Jlarem, Kec. Ampel",
Pondok Pesantren Islam Darusy Syahadah,"Gumukrejo RT 6/2, Desa Kedunglengkong, Kec. Simo","0271 7557999,7512043; 08121528084; 08139"
Pondok Pesantren Miftahul Huda,"Kencuran RT 4/1, Desa Senting, Kec. Sambi",0271 5834986; 081393062612; 085642177103
Pondok Pesantren Muhammadiyah Manafiul Ulum,"Jl. KH Ahmad Dahlan, Desa Canden, Kec. Sambi 57376",081548615640
Pondok Pesantren Putra Putri Salafiah Darul Ulum,"Jl. Glatik Gg. II Karang Kepoh, Banaran 57313",0276 323559
Pondok Pesantren Al Huda,Jl. Blok Kamalayan Cisereh Kec. Ketanggungan,085869098723
Pondok Pesantren Madinatul Huda,"Jl. KH. Hasyim Asyari, Dk. Talun, Desa Salem, Kec. Salem",085227477871
Pondok Pesantren Riyadhotul Huda,Ds. Karangpari Kec.Bantarkawung,085227965813
Pondok Pesantren Al Falah,Kampung Baregbeg Ds. Ujungbarang Kec. Majenang,0856 9238 4728
Pondok Pesantren Al Ikhlas Hidayatullah,"Jl. Buaya 167 Lengkong Mertasinga RT 3/14, Kec. Cilacap Utara",0282 547123
Yayasan Al Madina,Desa Kedungwaru Lor Kec. Karang Anyar,0812 2918 387
Yayasan Pendidikan Islam Al Hasan,Desa Blerong Rt 04/03 Kec.Guntur,0815 7612 932
Pondok Pesantren Roudlotul Mutaalimin,Ds.Serangan Kec. Bonang,081 326 276 230
Podok Pesantren Roudlotul Huffadz,Ds. Ketro Rt. 05/01 Kec. Karangrayung,081325722854 / 081325218295
Pondok Pesantren Mutiara Samudera Biru,Ds. Bulungan Kec. Pakis Aji,081 326 554 307
Pondok Pesantren Al Ikhlas,"Dk. Tunggulrejo, Kec. Jumantoro 57782",081329495674
Pondok Pesantren Al Itqon,Jl. Adi Sumarmo Gawanan Colomadu,0271 7908984
Yayasan Pendidikan Islam Pesantren Khoirul Huda,"Ngadioro, Tagung, Berjo, Kec. Ngargoyoso",08156723468
Pondok Pesantren Muhammadiyah Tarbiyatul Muslimin,"Jl. Solo Purwodadi km. 12, Tuban, Gondangrejo 57773","0271 6812542,5853052"
Gereja Katolik Santo Pius X Karanganyar,Desa Jaten Rt. 1/14 Karanganyar,0271 825716
Gereja Katolik Santo Stephanus Jumapolo,Desa Kedawung Kec. Jumapolo 57783,0271 7060367
Pondok Pesantren Salafiyah,"Wonoyoso RT 2/V, Desa Bumirejo, Kec. Kebumen",0287 381324; 08783708111
Pondok Pesantren Al Masyhud,Sambongsari-Weleri,0294 643526 / 642566
Yayasan Pondok Pesantren Huffadzil Quran An Nur,Pamirian Gemuh,
Pondok Pesantren Miftahul Huda,Desa Peron Kec. Limbangan,081325581541; 081805946452
Pondok Pesantren Sunan Ampel,Desa Plososari Kec. Patean,0813 2597 3795
Yayasan Pondok Pesantren Salafiyah Roudlotul Mutas,"Jl. Karang Kembang No. 47B, Karangsari, Kota Kendal",0294 382428
Pondok Pesantren Nurul Istiqlal,"Jl. Pakis-Delanggu, Desa Bentangan, Kec. Wonosari",08122650752
Pondok Pesantren Tahfidzul Quran Al Manar,"Soko RT 17/8, Desa Pudungsari, Kec. Trucuk",0272 3106850; 081393012494
Yayasan Angalap Berkah,Yayasan Angalap Berkah Ds. Mejobo Rt./02 Kec. Mejobo,
Pondok Pesantren Nurul Ulum,Jl. Kudus-Colo Rt. 04/III Ds. Piji Kec. Dawe,0291 420263 / 0815 6594 517
Pondok Pesantren Al Quran Sunan Geseng,"Desa Kleteran RT 4/4, Kec. Grabag",085729135505; 08112502731
Pondok Pesantren Luqman Al Hakim,"Dusun Prampelan, Desa Adipuro, Kec. Kaliangkrik",081931721227
Yayasan Sosial Pendidikan Almadinah,Jl. Kolonel Sunandar 54 B Pati,0295 282937 / 0813 2665 4818
Pondok Pesantren As Salafiyyah,Desa Jeruk Kec. Pancur,0817450267
Lembaga Pemberdayaan Pengembangan dan Pendidikan M,Ds. Tegal Mulyo Kec. Kragan,
Pondok Pesantren Masyitoh,Jl. K. Asyary Tingkir Lor Kec. Tingkir,02987166808; 0818242575
Pesantren Al Quran dan Ilmu Pendidikan Islam Hiday,"Pilang RT 8/3, Desa Pilang, Kec. Masaran","0271 5841047, 5842473, 7990621"
Pondok Pesantren At Taqwa Muhammadiyah Miri,Pondok Rt 3 Sunggingan Miri 57276,0271 7080342
Pondok Pesantren Putra Putri Barokatul Falah,Winong Desa Patihan Kec. Sidoharjo,081329004387
Pondok Pesantren Karya Hidayatullah,"Ngrayapan, RT 12/3, Kel. Karangwaru, Kec. Plupuh",0271 892685; 085293397942
Pondok Pesantren Miftachul Hikmah,"Dk. Sanggrahan, Desa Denanyar, Kec. Tangen",081548511331
Pondok Pesantren Miftahudin,"Ds. Grengseng, Desa Poleng, Kec. Gesi",08122988428; 081548511331
Pondok Pesantren Sunan Drajat V Modern,"Dk. Sugihan, Desa Dukuh, Kec. Tangen",081548511331
Pondok Pesantren Al Hikmah,"Hargosari RT 3/2, Desa Sraten, Kec. Gatak",
Pondok Pesantren Islam Darul Fithrah,"Pomahan RT 2/III, Desa Grajegan, Kec. Tawangsari",0272 881325
Pondok Pesantren Tamirul Islam II Darud Dawah,"Jl. Solo Jogja Km 15 No. 49, Dk. Gunungsari, Desa Tempel, Kec. Gatak",0271 728355; 081329256122
Pondok Pesantren Tahfidzul Quran,"Desa Purwodadi, Kec. Tembarak",085292994995
Pondok Pesantren Yatim ( Panti Asuhan ) Al Uswah,"Teguharjo RT 5/XII Desa Sonoharjo, Kec. Wonogiri",0273 3337377; 081329059940
Pondok Pesantren Hasan Nur Iman,"Ds. Bendungan, Desa Jendi, Kec. Selogiri",
Pondok Pesantren Karya Al Barokah,"Jl. Raya Purwantoro-Pakis Baru Nomor 45 Rt. 1/V Ds. Wates Wetan, Desa Bangsri, Kec. Purwantoro 57695",0273 415106
Pondok Pesantren Rumpun Muslim,"Ds. Cinderejo Rt. 2/2, Desa Jatisari, Kec. Jatisrono",08129427565
Yayasan Pondok Pesantren Salafiyah Syafiiyah Gani,"Cangkring, Tirtomoyo, Wonogiri 57672",0273 3301455; 085257534074
Gereja Katolik Santo Ignatius Danan,Kotak Pos 9 Giriwoyo Wonogiri 57675,08124012134
Pondok Pesantren An-Nur,"Desa Subah, Kec. Subah",081326946379
Pondok Pesantren Darul Ulum,"Desa Tragung, Kec. Kandeman",02857911568
Pondok Pesantren Asasul Huda,"Desa Nglawen, Kec. Bawang",
Gereja Baptis Indonesia Imanuel,"Desa Pengkol, Kec. Karanggede",081393085324
Pondok Pesantren Asy-Syafiiyah,"Desa Salem, Kec. Salem",081399998610
Pondok Pesantren Miftahul Ulum,"Desa Ganggawang, Kec. Salem",08156553467; 081225717588
Yayasan Pendidikan Pondok Pesantren Raudlatul Mubt,"Desa Pangebatan, Kec. Bantarkawung",081327543076
Pondok Pesantren Subulassalam,"Desa Karangpari, Kec. Bantarkawung",081903040955
Lembaga Pendidikan Islam Pondok Pesantren Al-Ghuri,"Desa Weding, Kec. Bonang",02913407108
Pondok Pesantren Sholihiyyah,"Desa Kalitengah, Kec. Mranggen",02470292428
Pondok Pesantren Al Mushaqiyyah,"Desa Pangkalan, Kec. Karangrayung",
Yayasan Pondok Pesantren Modern Nurul Firdaus,"Desa Manggarmas, Kec. Godong",081542353290
Pondok Pesantren Putri Siti Fatimah,"Desa Godong, Kec. Godong",0292659107
Pondok Pesantren Al-Anwar Annaqsyabandiyah,"Desa Mayonglor, Kec. Mayong",081325700140
Pondok Pesantren Al Huda Ridwaniyah,"Desa Pancur, Kec. Mayong",081225459627
Pondok Pesantren As-Shofa,"Desa Lebak, Kec. Pakis Aji",085225477142
Pondok Pesantren Al-Quran Putra-Putri Manbaur Robb,"Desa Kalipucang Wetan, Kec. Welahan",02913303118
Pondok Pesantren Al-Ausath,Gotanan RT 03/III Jati,085229041559
Gereja Kristen Jawa Kerjo,"Desa Sumberejo, Kec. Kerjo",081393006368
Gereja Kristen Jawa Tawangmangu,"Kel. Tawangmangu, Kec. Tawangmangu",027197320
Gereja Kristen Setia Indonesia Jemaat Lahai Roi Ka,"Desa Gajahan, Kec. Colomadu",081225819815
Pondok Pesantren Khisnul Mukminiin,"Desa Jatipurwo, Kec. Jatipuro",081393087826
Pondok Pesantren Rochmadin,"Desa Nguntut, Kec. Jumantono",081329266122
Pondok Pesantren Mathlaul Anwar,"Desa Sidomulyo, Kec. Adimulyo",087837542723
Pondok Pesantren Al-Amin,"Desa Gemuh, Kec. Gemuh",081902881232
Pondok Pesantren Al-Iklash,"Desa Krompaan, Kec. Gemuh",081325637534
Pondok Pesantren Al Khoirot,"Desa Jatirejo, Kec. Ngampel",087832683753
Pondok Pesantren Al-Musthofa,"Desa Damarjati, Kec. Sukorejo",081325973795
Pondok Pesantren Darul Falah,"Desa Limbangan, Kec. Limbangan",
Pondok Pesantren Darul Hasanah,"Desa Sirapsari, Kec. Sukorejo",081326837901
Pondok Pesantren Roudhotut Tholibin,"Desa Tamanrejo, Kec. Sukorejo",
Pondok Pesantren Roudlotul Muhtadin,"Desa Kaligading, Kec. Boja",0813326178870
Pondok Pesantren Sunan  Kalijogo,"Desa Purwosari, Kec. Patebon",
Pondok Pesantren Terpadu Syaikh Ahmad Rifai,"Desa Bulak, Kec. Rowosari",088215214166
Pondok Pesantren Walisongo,"Desa Pikatan, Kec. Plantungan",
Yayasan At-Taawun,"Desa Jelobo, Kec. Wonosari",02717957157
Yayasan Ibadurrahman,"Desa Baran, Kec. Cawas",085643197358
Yayasan Pondok Pesantren Al Maturidy,"Desa Sidomulyo, Kec. Jekulo",081325785168
Pondok Pesantren Assaidiyyah,"Desa Kirig, Kec. Mejobo",02914247125
Pondok Pesantren Salafiyah Al-Hidayah,"Desa Getassrabi, Kec. Gebog",02913304883
Pondok Pesantren Al Mubtadi-in,"Desa Giyanti, Kec. Candimulyo",02935501425
Pondok Pesantren Darul Falaah,"Desa Sumberrejo, Kec. Mertoyudan",0293326094
Pondok Pesantren Salafiyah Putra Putri Al-Huda,"Desa Sidowangi, Kec. Kajoran",081227084978
Pondok Pesantren Al Channan,"Desa Purwokerto, Kec. Tayu",081325520728
Pondok Pesantren Mambaul Huda,"Desa Werdi, Kec. Paninggaran",087870986060
Pondok Pesantren Al Fudlola,"Desa Moga, Kec. Moga",081578322750
Pondok Pesantren Mambaul Huda,"Desa Semingkir, Kec. Randudongkal",081548027842
Pondok Pesantren Darul Muhtadin,"Desa Sekarsari, Kec. Sumber",085225630622
Pondok Pesantren Al Islam Darul Falah,"Desa Sepat, Kec. Masaran",081329490919
Yayasan Lembaga Bakti Muslim (LBM) Al-Falah,"Desa Mojokerto, Kec. Kedawung",0271894507
Yayasan Sinar Elim,"Kel. Sine, Kec. Sragen",02717013701
Pondok Pesantren Tahfidzul Quran Hidayatul Quran,"Desa Jono, Kec. Tanon",081329358683
Pondok Pesantren Ummul Qurro,"Desa Sukorejo, Kec. Sambirejo",085229554122
Pondok Pesantren Darul Fikri Kahuripan,"Desa Koripan, Kec. Slogohimo",02735316652
Yayasan Pondok Pesantren Roudhotul Jannah,"Desa Tempuranduwur, Kec. Sapuran",081328368015
Pondok Pesantren Al Mahalli,"Brajan, Wonokromo, Plered Bantul 55791,",0274 765617
Pondok Pasantren Mutaallimin,"Masjid Nahdlatul Mutaallimin Jl. Wates KM. 13,5, Jambon, Argosari Bantul -",0274 7457439 HP  08121596062
Pondok Pesantren Al Furqon,"Kembangputihan, Guwosari, Pajangan",08192321947/ 081328853179
Pondok Pesantren Al Imdaad,"Dusun Kauman, Desa Wijirejo, Kec. Pandak","0274 7417252, 081328 853 179"
Pondok Pesantren ISC ASWAJA LINTANGSONGO,"Pagergunung I RT 01/29 Desa Sitimulyo Kec. Piyungan 55792,",HP  08122758119       HP  085 643 073 58
Pondok Pesantren As Salafiyah,"Ds. Ngrandu, Desa Salamrejo, Kec. Sentolo",HP  085868530115
Pondok Pesantren Ittihadul Mujtahidin,Lemah Abang Gunung Kukusan Hargorejo Kokap,HP  081392219860
Pondok Pesantren Nurul Huda,"Duwet, Banjarharjo, Kalibawang",HP  085868530115
Pondok Pesantren Ar Romly,Giriloyo Wukirsari Imogiri,02746644130; 0817262180
Yayasan Tani Persada,Ds. Mangunan Kec. Dlingi,0274 7451090 / 081 805 482 617
Pondok Pesantren Darul Muttaqin,"Jl. Masjid Attaqwa No. 6 Sidoarjo, Dolopo, Madiun,",0351-7707715
Pondok Pesantren Darul Ulla,"Jl. Jembatan, Desa Tarokan, Kec. Banyu Anyar, Probolinggo, Jatim,",0813 3211 9750
Pondok Pesantren Raoudhatut Talibin,Jl. Battal Klampek Pandi Situbondo,
Pondok Pesantren Miftahul Ulum Al Islamiyah,Jl. Raya Manding Ds Giring Kec. Manding  Sumenep,0328 7708618
Yayasan Al Kholiliyah Maron,Desa Brani Kulon Rt. 05/02 Kec. Maron,0335 842689 / 081 333 317 223
Yayasan Nurul Islam Al Muin,"Kalibuntu, Kraksaan",0335 842025; 081336484513
Tanziul Fuad,"Desa Balung Lor, Kec. Balung",
Pondok Modern Gontor Tiga Darul MaRifat **),"Sumbercangkring, Gurah, Kediri,",0354 545317
Darussalam Mekar Agung,"Pucang Anom, Kebonsari, Madiun",
Hasbunallah,"Desa Ketindan, Lawang, Malang",
Al Qomar,"Desa Pakunces, Pakian Rowo, Nganjuk",
Nurul Dholam,"Sidomulyo, Kebon Agung, Pacitan",
Pondok Pesantren Modern Gontor,Ds. Gontor Kec. Melarak . Kab. Ponorogo Jatim,
An Nur *),"Jl, Sunan Giri, Sumber Aman, Kraksaan, Probolinggo",
Mambaul Ulum,"Jl, Ponpes Mambaul Ulum, Paiton, Probolinggo",
Miftahul Ulum,"Suruhan Lor, Bandung, Tulung Agung",
Pondok Pesantren Ash Shuufiyah,KH. Abdul Koliq No. 15 Dsn. Ponjen Ds. Kencong Kec Kencong Kab Jember Jawa Timur,0336-321980
Pondok Pasentren Bahrul Ulum,Dsn. Krajan RT. 02 RW 04 Desa Langkap Kec. Bangsalsari. Kab. Jember Kode Pos 68154,
Yayasan Pondok Pesantren Sunan Giri,Desa Curahlele Kec. Balung  Kab. Jember  Jawa Timur 68161,0336-621110;   Fax:0336-624166
Pontren Al Falah II,"Ploso Mojo, Kediri",0354-479032
Pontren Hidayatul Mubtadiin,"Jl. KH, Yusuf, Lowokwaru, Malang",0341-471290
Pondok Pesantren Sunan Ampel,"Desa Keltang, Kec. Poncokusumo, Malang",
Tarbiyatul Muallimin Muallimat AlIslamiyah Pondok,Jl. KH Wachid Hasyim No. 312 Tanjunganom Nganjuk  Jawa Timur e-Mail: pomosda@kediri.wasantara.net.id,0358-771589
Pondok Pesantren Al Masyhuriah,Panji Situbondo Jawa Timur,
Pontren Raudlatul Mutaallimin,"Jl. Madura 20, Kel. Mimbaan, Situbondo",0338-671448
Pontren  Nasyatul Mutaalimin,"Desa Gapura Timur, Kec. Gapura, Sumenep",
Pondok Pesantren Al Irsyad,Ds. Wonoanti Kec. Tugu Kab. Trenggalek Jatim Jl. Raya T. Galek Ponorogo Km 7 Gondang Tugu Trenggalek Jawa Timur,0355-792363
Pondok Pesantren Putra Putri Nailul Ulum,Bendoagung - Kampak - Trenggalek - Jatim Kode Pos 66373,0355-631100
LM3 Panca Guna Pondok Pasantren Al Fallah,"Ds. Trencen, Kec. Sumbergempol, Kab.  Tulungagung -Tulung - Jawa Timur 66291",0355 396355 HP  08175404251
Yayasan Pondok Pesantren Assiddiqiyah,"Pakaan Laok, Kec. Galis Bangkalan 69173",081703740602/   031 71401693
Pondok Pesantren Nadwatul Ishaqiyah,Jl. Raya Bambu 04 Burneh Bangkalan 69171,031 3097461-71289062
Yayasan Pondok Pesantren Darul Falah,"Pucangsari Jambewangi, Sempu 7709417",0333 7709417/081914704389 HP  813581696
Pondok Pesantren Darunnajah,"Tanjungsari, Sraten Cluring",0333 397890    085257207477
Yayasan Pondok Pesantren Garuda Loncat,Padepokan Krido Pamungkas Jati RT 2/1 Ds Kerjen Srengat,342551609
Yayasan Nurul Islam,Ds Margomulyo Kec Balen,0353332229/   081335992825
Pondok Pesantren Al Hasyimi,Desa Sukosari Kec. Tamanan,
Yayasan Kasih ibu,Jl Diponegoro Gg Menang,
Pondok Pesantren Nurul Irsyad,Jl Gadingsari No. 1 Binakal,HP  085258596567
Yayasan Pelopor Insan Mandiri,Perum Kembang Permai BB 12,0332 424112
Pondok Pesantren Salafiyah Asy Syafiiyah,Wonosuko Tamanan,0332 7709472
Pondok Pesantren Hasan Jufri,Jl Raya Kebunagung Lebak Sangkapura Bawean 61181,0325 421738
Pondok Pesantren Al Falah,Jl. H. Sholeh Kepel Ampel Wuluhan,336721354
Pondok Pesantren Al Hidayah,"Jl. PDP Sumber Wadung 008, Karang Haerjo Silo",33521139
Pondok Pesantren Al Islamiyah,"Jl. Ky. Hasinah No. 06  Kepanjen Gumuk Mas,  Jl. Raya Kebonan No. 250 Gumuk Mas","08283912627,  03367720674,  0336 771088"
Pondok Pesantren Al Khairiyah,Jl. KH. Abdul Azis No. 66 Kauman Tempurejo,0331 757 494
Pondok Pesantren An Nur,Desa Puncak Karya Kec. Ajung,331757429
Pondok Pesantren As Shofa,Jl. Perumdim Raya Desa Jubung Kec. Sukorambi,
Yayasan Bani Baridin,"Jl. A Yani No. 288 Pondok lalang Wonojati ; Jenggawah,",0331 3604421 ; 0331 3604421
Pondok Pesantren Darul Falah,"Jl. Curah Udang Desak Besuk, Kec. Ajung",0331 322 188
Yayasan Pend Pondok Pesantren dan Panti Asuhan Dar,"Dusun Jatisari, Desa Trisnogambar Kec. Bangsalsari,",0331 786 0918
Pondok Pesantren Darussalam,"Jl. Mawar No 47 0331 422 604, kel. Jember Lor, Kec.Patrang",
Pondok Pesantren Ngashor,"Jatiagung, Gumukmas",0336 323659
Pondok Pesantren Nurina (Nurul Inaroh),"Desa Bangsalsari, Kec. Bangsalsari Jl. Kamboja NO. 1 Krajan B 68154",
Pondok Pesantren Nurul Qurnain,Jl. Imam Sukarto No. 60 Baletbaru Sukowono PO BOX 68194,0331567126    Fax.0331566369
Yayasan Pondok Pesantren Nurussalam,Jl. Imam SyafiI No. 7 Krajan Lor Sumberejo Ambulu,0336 883525
Yayasan Pondok Pesantren Sirojul Anwar,"Jl. KII Sirojudin Ilyas No. 04  Pecoro, Rambipuji","0331 712700, 712987"
Pondok Pesantren An Najah Mambaul Maarif,Jl Laksda Adi Sucipto No 47 Denanyar,321860874
LM3 Pondok Pesantren Queen AL Falah,Ploso mojo 0354479615/081330283845,
Pondok Pesantren Al Jihad,"Jl. Karangasem Banjarwati Paciran 62264,",T lp.0322665417
YPIS Al Fauzan,Jl. Letkol Slamet Wardoyo Labruk Lor,
Pondok Pesantren Barokatul Hasan,"Jl. Tegal Sari No. 68 Mangunsari, tekung",0334 390698
Pondok Pesantren Nurut Tauhid,"Wonorejo, Kedungjajang",0334 886464
Pondok Pesantren Al Hidayah,Jl. Bendo No. 38 Sumberejo Pagak Tlp. 0341 311020,
Pondok Pesantren An Nur Al Huda,"Mertoyosa, Desa Ngawonggo, Kec. Tajinan",0341 7043930/  081334515548
Pondok Pesantren Putra Putri Bahrul Muttaqin,Jl. KH. Hasyim Asyari RT 9/2 Talangagung Kepanjen,
Yayasan Yatim Piatu Dharus Saadah As salafiyah,"Kel. Lesanpuro, Kec. Kedungkandang Jl Lesan puro No. 1 RT 3/3",715702 Fax. 324563/0342 329945
Yayasan Pondok Pesantren Pendidikan dan Kesejahter,Jl. Raya Jabon No. 69Mojoanyar,0321 328870
Pondok Pesantren Miftahul Ula,Jl. KH. Abd. Fatah No. 1 Desa Nglawak Kec. Kertosono.,0358 551 343 - 551 345
Roudlatul Mutaallimin,"Ds Manggarejo, Desa Mancon Kec. Wilangan",Fax 08883400423
Pondok Pesantren Syarifatul Ulum,"Ds Katerban, Desa Sekaralas, Kec. Widodaren",0351 679039 / 081259832279
Pondok Pesantren Hidayatulloh,Tampung Kalirejo Gondangwetan,0343 441282
Pondok Pesantren Sabilul Muttaqin,Karanganyar kraton,0343 428059
Pondok Pesantren Al Masyhur,"Bakalan, Kec. Bugul Kidul Jl. Raya Bakalan No. 1",0343 428547
Pondok Pesantren dan Pendidikan An Nuur,Dsn Tampo Desa Trisono RT 38/11 Kec. Babadan,
Pondok Pesantren Mambahul Huda,Dusun Janti Desa Sendang Kec. Jambon,
Pondok Pesantren Darut Taqwa,Kedungrejoso Kotaanyar Probolinggo 67293,HP  08124919396
YPI Raden Fatah Pondok Pesantren Al Bayyinah,Ds Tarokan Kec Banyuanyar,0335611330/  08123451128
Pondok Pesantren Riyadlus Sholihin,Jl.Lawu 39 Ketapang Kec. Kademangan,0335 423045
Pondok Pesantren Syeah Abdil Qodir Jailani,Rangkang-Kraksaan-Probolinggo 67282,0335 841588-841871
Pondok Pesantren Jauharul Ulum,"Desa Paowan, Kec. Panarukan",
Pondok Pesantren Miftahul Ulum,"Jl. KHR. Asad syamsul arifin Pandean Wonorejo, Banyuputih 68374 /",333461330
Pondok Pesantren Raudlatut Thalibin,"Bantongan, Sumberkolak, Panarukan Jl. Pemuda Gg IV",0338 5503440/670856 HP  08283444569
Pondok Pesantren Salafiyah Syafiiyah Al Azhar,Jl PP Salafiyah Syafiiyah al-Azhar mojosari Asembagus,0338 452182
Pondok Pesantren Al Hikmah,Jl. PP Al Hikmah Aengdake Bluto  kode pos 69466 Sumenep,0328 415045/415327
Pondok Pesantren Al Usymuni,"Desa Pandian, Kec. Kota Sumenep",
Pondok Pesantren Attaawun,Larangan Barma Kec. Batuputih Sumenep,
Pondok Pesantren Al Mustofawiyah,"Jl. Masjid Awwabin, RT 1/4 Desa Palang, Kec. Palang 62391",
Pondok Pesantren Roudlatul Muhsinin,"Karangtalun, Kec. Kalidawir",0355 592288
Pondok Pesantren Al Murroh Sahal,Jl. KH. Mawardi Dsn. Galba Ds. Panjalinan Kec. Blega,03171710474
Yayasan Pondok Pesantren Attauhidiyah,"Doro Agung Desa Kompol, Kec. Geger 69151",031 70747355
Yayasan Pondok Pesantren Ibnu Hasan,Jl. Pacokan 1/102 Lajing Arosbaya 69151,031 3051436
Pondok Pesantren Miftahul Ulum,"Jl. Raya Kramat, Desa Kramat, Kec. Bangkalan",031 3097458
Yayasan Pondok Pesantren Salafiyah Saidiyah,"Jl. Aer Mata Buduran, Arosbaya 69151",031 71172894
Pondok Pesantren Darun Naja,Kedungsumur Kedunggebang Tegaldlimo,0813 5893 1244
Yayasan Al Murofaqoh Al Muwafaqoh,Dsn. Ngrawan Ds. Rejosari Kec. Wonodadi,03427732027 - 08123272518
Yayasan Pendidikan Pondok Pesantren Darul Quran,Rt. 15/4 Dukuh Bakalan Desa Klepek Kec. Sukosewu,
Pondok Pesantren Darul Arifin,"Desa Jati Sari, Kec. Wringin","0332 7701419, 081234913617"
Pondok pesantren Nurul Hidayah,Jl. Tamanan Desa Koncer Dsn. Jatian Tenggarang,0852 3601 1075
Pondok Pesantren Nurul Ulum,"Krajan Baru RT 10/4, Desa Cindogo, Kec. Tapen",085236535176
Pondok Pesantren Al Kautsar,Jl. Persil No.50 Kemuningsari Lor Panti,0331-712430 / 7799879
Pondok Pesantren Baitul Hikmah,Jl. KH. Abdurrahman 32 Krajan Tempurejo,0331-7775565 / 757844 / 081559555552
